"Target","Evidence"
"A1BG","predicted (intersection) + predicted (union)"
"A1CF","predicted (intersection) + predicted (union)"
"A2ML1","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAR2","predicted (union)"
"AARD","predicted (union)"
"AARS2","predicted (union)"
"AASDH","predicted (union)"
"AASDHPPT","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB9","predicted (intersection) + predicted (union)"
"ABCC1","predicted (intersection) + predicted (union)"
"ABCC10","predicted (intersection) + predicted (union)"
"ABCC11","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","predicted (union)"
"ABCC9","predicted (union)"
"ABCD2","predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF3","predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABHD13","predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD17C","experimental (all) + predicted (intersection) + predicted (union)"
"ABHD18","predicted (intersection) + predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD4","predicted (intersection) + predicted (union)"
"ABHD5","predicted (union)"
"ABI3","predicted (union)"
"ABITRAM","predicted (intersection) + predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABR","predicted (union)"
"ABRA","predicted (union)"
"ABRACL","predicted (union)"
"ABRAXAS1","predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ABT1","experimental (all) + predicted (intersection) + predicted (union)"
"ACAA2","predicted (intersection) + predicted (union)"
"ACAD8","predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACADVL","predicted (union)"
"ACAP2","predicted (union)"
"ACAP3","predicted (union)"
"ACBD4","predicted (union)"
"ACBD5","predicted (union)"
"ACBD7","predicted (intersection) + predicted (union)"
"ACER2","experimental (all) + predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOD1","predicted (union)"
"ACOT11","predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT9","experimental (all) + predicted (intersection) + predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACP1","predicted (intersection) + predicted (union)"
"ACP7","predicted (union)"
"ACPP","predicted (intersection) + predicted (union)"
"ACSBG1","predicted (union)"
"ACSF2","predicted (union)"
"ACSF3","predicted (union)"
"ACSL4","predicted (union)"
"ACSL6","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACSS1","predicted (union)"
"ACSS3","predicted (union)"
"ACTA1","experimental (all) + predicted (intersection) + predicted (union)"
"ACTL6A","predicted (union)"
"ACTR10","predicted (intersection) + predicted (union)"
"ACTR1A","predicted (union)"
"ACTR1B","predicted (intersection) + predicted (union)"
"ACTR2","predicted (union)"
"ACTR3","predicted (union)"
"ACTRT3","predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACVRL1","predicted (intersection) + predicted (union)"
"ADA","predicted (union)"
"ADAL","predicted (union)"
"ADAM10","predicted (union)"
"ADAM11","predicted (union)"
"ADAM15","predicted (intersection) + predicted (union)"
"ADAM17","predicted (union)"
"ADAM18","predicted (union)"
"ADAM19","predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAM30","predicted (union)"
"ADAM9","predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS12","predicted (intersection) + predicted (union)"
"ADAMTS14","predicted (intersection) + predicted (union)"
"ADAMTS15","predicted (intersection) + predicted (union)"
"ADAMTS17","predicted (intersection) + predicted (union)"
"ADAMTS2","predicted (intersection) + predicted (union)"
"ADAMTS20","predicted (intersection) + predicted (union)"
"ADAMTS3","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS8","predicted (intersection) + predicted (union)"
"ADAMTS9","predicted (union)"
"ADARB2","predicted (union)"
"ADAT1","predicted (union)"
"ADAT3","predicted (union)"
"ADCY1","predicted (union)"
"ADCY2","predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADCYAP1R1","predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADGRA3","predicted (union)"
"ADGRE2","predicted (intersection) + predicted (union)"
"ADGRF1","predicted (union)"
"ADGRG2","predicted (union)"
"ADGRG5","predicted (intersection) + predicted (union)"
"ADGRG6","predicted (union)"
"ADGRL1","predicted (union)"
